Date,Open,High,Low,Close,Adj Close,Volume
2012-08-06,200.875000,208.895004,199.005005,203.264999,178.564651,168790
2012-08-07,205.514999,208.500000,204.494995,207.565002,182.342163,453660
2012-08-08,207.500000,210.699997,207.500000,208.994995,183.598373,64120
2012-08-09,204.399994,211.895004,204.399994,208.785004,183.413879,72570
2012-08-10,205.000000,208.774994,203.000000,206.854996,181.718414,294170
2012-08-13,208.505005,209.895004,206.000000,207.934998,182.667175,50870
2012-08-14,207.500000,210.889999,207.500000,210.179993,184.639359,224960
2012-08-16,212.184998,229.994995,212.184998,222.125000,195.132843,389740
2012-08-17,222.505005,228.779999,221.104996,222.524994,195.484238,251710
2012-08-21,225.000000,228.479996,219.225006,222.985001,195.888351,86190
2012-08-22,223.214996,224.500000,222.000000,223.199997,196.077194,61100
2012-08-23,223.574997,231.994995,221.000000,222.244995,195.238251,91030
2012-08-24,220.100006,224.949997,206.199997,218.320007,191.790253,165960
2012-08-27,215.539993,222.759995,215.539993,217.250000,190.850281,306850
2012-08-28,218.664993,219.220001,211.070007,215.074997,188.939545,104880
2012-08-29,215.000000,215.865005,208.639999,214.009995,188.003937,84480
2012-08-30,213.539993,215.000000,209.279999,212.014999,186.251373,125710
2012-08-31,212.500000,219.899994,209.505005,214.479996,188.416824,93620
2012-09-03,215.000000,220.940002,207.500000,211.750000,186.018585,214180
2012-09-04,211.899994,212.195007,206.000000,207.990005,182.715500,221500
2012-09-05,208.000000,211.199997,205.505005,206.404999,181.323135,254280
2012-09-06,206.300003,209.899994,205.009995,206.554993,181.454849,61730
2012-09-07,207.600006,208.839996,207.250000,208.300003,182.987839,71960
2012-09-08,null,null,null,null,null,null
2012-09-10,208.360001,209.899994,207.500000,208.914993,183.528091,81380
2012-09-11,209.899994,216.000000,208.000000,211.029999,185.386093,345720
2012-09-12,210.110001,218.800003,210.110001,216.020004,189.769745,71290
2012-09-13,219.399994,225.000000,216.500000,223.820007,196.621887,338850
2012-09-14,224.725006,227.500000,222.100006,226.960007,199.380280,134860
2012-09-17,227.294998,232.509995,226.960007,231.600006,203.456467,113000
2012-09-18,231.000000,231.494995,227.000000,229.164993,201.317368,57010
2012-09-20,227.085007,227.509995,221.500000,224.264999,197.012787,149340
2012-09-21,229.985001,230.000000,214.304993,220.884995,194.043518,402480
2012-09-24,230.110001,230.695007,221.985001,226.154999,198.673126,103540
2012-09-25,229.884995,229.884995,222.199997,223.074997,195.967422,25360
2012-09-26,225.794998,226.000000,223.399994,224.554993,197.267563,35370
2012-09-27,229.990005,239.990005,223.199997,223.839996,196.639435,22440
2012-09-28,227.024994,237.000000,221.330002,231.119995,203.034760,308900
2012-10-01,234.994995,235.794998,224.794998,225.884995,198.435928,118670
2012-10-03,224.000000,231.899994,223.994995,229.335007,201.466705,115420
2012-10-04,230.990005,230.994995,226.524994,227.289993,199.670197,383890
2012-10-05,228.595001,232.300003,228.220001,230.270004,202.288071,140840
2012-10-08,233.199997,233.199997,223.699997,224.850006,197.526688,383650
2012-10-09,229.794998,229.794998,225.104996,226.369995,198.861984,185000
2012-10-10,223.399994,228.600006,223.399994,223.850006,196.648254,71780
2012-10-11,235.000000,235.000000,223.000000,224.070007,196.841476,35530
2012-10-12,221.164993,227.190002,221.164993,222.509995,195.471085,63210
