Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,247.000000,273.000000,247.000000,248.500000,248.500000,121
2017-08-08,248.500000,248.500000,248.500000,248.500000,248.500000,0
2017-08-09,236.500000,248.000000,236.500000,248.000000,248.000000,85
2017-08-10,248.000000,248.000000,248.000000,248.000000,248.000000,0
2017-08-11,248.000000,248.000000,248.000000,248.000000,248.000000,0
2017-08-14,248.000000,248.000000,245.000000,248.000000,248.000000,320
2017-08-16,236.000000,237.000000,236.000000,237.000000,237.000000,60
2017-08-17,237.000000,237.000000,237.000000,237.000000,237.000000,0
2017-08-18,237.000000,237.000000,237.000000,237.000000,237.000000,0
2017-08-21,237.000000,237.000000,235.000000,235.000000,235.000000,276
2017-08-22,235.000000,235.000000,235.000000,235.000000,235.000000,0
2017-08-23,235.000000,235.000000,235.000000,235.000000,235.000000,7
2017-08-24,237.000000,237.000000,237.000000,237.000000,237.000000,54
2017-08-28,237.000000,237.000000,237.000000,237.000000,237.000000,1341
2017-08-29,235.000000,235.000000,235.000000,235.000000,235.000000,25
2017-08-30,234.000000,234.000000,234.000000,234.000000,234.000000,575
2017-08-31,234.000000,234.000000,234.000000,234.000000,234.000000,83
2017-09-01,234.000000,234.000000,234.000000,234.000000,234.000000,0
2017-09-04,234.000000,234.000000,234.000000,234.000000,234.000000,0
2017-09-05,234.000000,234.000000,234.000000,234.000000,234.000000,100
2017-09-06,234.000000,234.000000,234.000000,234.000000,234.000000,0
2017-09-07,234.000000,234.000000,234.000000,234.000000,234.000000,0
2017-09-08,234.000000,234.000000,234.000000,234.000000,234.000000,0
2017-09-11,234.000000,234.000000,234.000000,234.000000,234.000000,287
2017-09-12,245.699997,245.699997,245.699997,245.699997,245.699997,3
2017-09-13,234.000000,234.000000,234.000000,234.000000,234.000000,23
2017-09-14,245.699997,245.699997,245.699997,245.699997,245.699997,800
2017-09-15,257.950012,257.950012,257.950012,257.950012,257.950012,400
2017-09-18,257.950012,257.950012,257.950012,257.950012,257.950012,70
2017-09-19,257.950012,257.950012,257.950012,257.950012,257.950012,0
2017-09-20,257.950012,257.950012,257.950012,257.950012,257.950012,32
2017-09-21,257.899994,257.899994,257.899994,257.899994,257.899994,50
2017-09-22,257.950012,257.950012,257.950012,257.950012,257.950012,100
2017-09-25,258.000000,258.000000,255.000000,255.399994,255.399994,93
2017-09-26,255.000000,255.000000,255.000000,255.000000,255.000000,100
2017-09-27,255.000000,255.000000,255.000000,255.000000,255.000000,0
2017-09-28,255.000000,255.000000,255.000000,255.000000,255.000000,0
2017-09-29,255.000000,255.000000,250.000000,251.000000,251.000000,532
2017-10-03,263.549988,263.549988,263.549988,263.549988,263.549988,1073
2017-10-04,266.850006,266.850006,263.000000,266.000000,266.000000,2965
2017-10-05,252.699997,252.699997,252.699997,252.699997,252.699997,25
2017-10-06,240.100006,240.550003,240.100006,240.550003,240.550003,875
2017-10-09,252.550003,252.550003,250.000000,252.449997,252.449997,610
2017-10-10,239.850006,239.850006,239.850006,239.850006,239.850006,841
2017-10-11,239.850006,239.850006,239.850006,239.850006,239.850006,0
2017-10-12,250.000000,251.800003,240.550003,251.800003,251.800003,3061
2017-10-13,264.350006,264.350006,248.000000,264.299988,264.299988,72
2017-10-16,255.149994,255.149994,255.149994,255.149994,255.149994,20
2017-10-17,255.149994,255.149994,255.149994,255.149994,255.149994,0
2017-10-18,255.149994,255.149994,255.149994,255.149994,255.149994,0
2017-10-19,254.850006,254.850006,254.850006,254.850006,254.850006,2
2017-10-23,264.850006,264.850006,254.850006,254.850006,254.850006,21
2017-10-24,264.000000,267.549988,243.000000,250.000000,250.000000,604
2017-10-25,254.000000,254.000000,254.000000,254.000000,254.000000,25
2017-10-26,255.000000,255.000000,255.000000,255.000000,255.000000,168
2017-10-27,255.000000,255.000000,242.500000,253.949997,253.949997,687
2017-10-30,266.500000,266.500000,254.000000,266.000000,266.000000,10
2017-10-31,266.000000,279.299988,266.000000,279.149994,279.149994,11
2017-11-01,270.000000,270.000000,266.799988,266.950012,266.950012,260
2017-11-02,253.649994,254.149994,253.649994,253.699997,253.699997,235
2017-11-03,254.149994,266.350006,254.149994,256.350006,256.350006,83
2017-11-06,256.350006,256.350006,256.350006,256.350006,256.350006,0
2017-11-07,254.149994,254.149994,244.149994,244.149994,244.149994,130
2017-11-08,249.000000,249.000000,249.000000,249.000000,249.000000,68
2017-11-09,254.000000,261.399994,249.449997,259.450012,259.450012,434
2017-11-10,251.399994,251.399994,247.100006,247.100006,247.100006,530
2017-11-13,249.449997,250.000000,236.000000,250.000000,250.000000,160
2017-11-14,251.449997,251.449997,240.000000,240.000000,240.000000,22
2017-11-15,248.449997,248.449997,236.000000,236.000000,236.000000,37
2017-11-16,244.500000,244.500000,232.000000,240.000000,240.000000,136
2017-11-17,240.000000,240.000000,240.000000,240.000000,240.000000,0
2017-11-20,240.000000,240.000000,240.000000,240.000000,240.000000,0
2017-11-21,232.000000,232.000000,228.000000,228.000000,228.000000,740
2017-11-22,228.000000,228.000000,228.000000,228.000000,228.000000,0
2017-11-23,239.000000,239.000000,239.000000,239.000000,239.000000,2
2017-11-24,250.699997,250.699997,240.000000,240.000000,240.000000,446
2017-11-27,228.050003,249.850006,228.050003,249.850006,249.850006,43
2017-11-28,248.850006,248.850006,248.850006,248.850006,248.850006,20
2017-11-29,248.850006,260.000000,248.850006,259.950012,259.950012,915
2017-11-30,247.000000,247.000000,247.000000,247.000000,247.000000,225
2017-12-01,259.350006,259.350006,259.350006,259.350006,259.350006,10
2017-12-04,251.449997,257.000000,246.399994,246.399994,246.399994,130
2017-12-05,246.399994,246.399994,246.399994,246.399994,246.399994,0
2017-12-06,246.399994,246.399994,246.399994,246.399994,246.399994,0
2017-12-07,246.399994,246.399994,246.399994,246.399994,246.399994,0
2017-12-08,257.950012,257.950012,257.950012,257.950012,257.950012,50
2017-12-11,246.000000,246.000000,246.000000,246.000000,246.000000,100
2017-12-12,250.000000,250.000000,250.000000,250.000000,250.000000,40
2017-12-13,240.000000,240.000000,240.000000,240.000000,240.000000,50
2017-12-14,228.000000,252.000000,228.000000,252.000000,252.000000,665
2017-12-15,240.000000,250.000000,240.000000,250.000000,250.000000,100
2017-12-18,250.000000,250.000000,250.000000,250.000000,250.000000,0
2017-12-19,250.000000,250.000000,250.000000,250.000000,250.000000,0
2017-12-20,250.000000,250.000000,250.000000,250.000000,250.000000,0
2017-12-21,259.700012,259.700012,246.850006,246.850006,246.850006,867
2017-12-22,246.000000,246.000000,240.000000,240.000000,240.000000,115
2017-12-26,242.000000,242.000000,228.000000,236.000000,236.000000,4467
2017-12-27,230.000000,233.000000,229.000000,232.699997,232.699997,688
2017-12-28,234.000000,234.000000,227.000000,230.000000,230.000000,611
2017-12-29,230.000000,230.000000,225.000000,228.000000,228.000000,2600
2018-01-01,239.399994,239.399994,229.000000,229.800003,229.800003,224
2018-01-02,235.100006,241.250000,235.100006,241.250000,241.250000,2018
2018-01-03,253.300003,253.300003,250.000000,253.300003,253.300003,955
2018-01-04,265.950012,265.950012,250.000000,264.000000,264.000000,1361
2018-01-05,277.200012,277.200012,251.250000,272.850006,272.850006,2132
2018-01-08,286.100006,286.100006,260.299988,260.299988,260.299988,602
2018-01-09,273.299988,273.299988,273.299988,273.299988,273.299988,1426
2018-01-10,272.000000,286.000000,265.000000,279.899994,279.899994,1874
2018-01-11,281.000000,292.950012,281.000000,292.799988,292.799988,1491
2018-01-12,299.000000,306.000000,290.000000,304.000000,304.000000,559
2018-01-15,313.000000,313.000000,288.799988,304.299988,304.299988,1073
2018-01-16,318.000000,319.500000,295.700012,300.350006,300.350006,2550
2018-01-17,295.000000,314.799988,286.299988,314.799988,314.799988,404
2018-01-18,302.600006,312.000000,302.549988,306.950012,306.950012,350
2018-01-19,305.000000,305.000000,300.000000,300.000000,300.000000,303
2018-01-22,300.000000,300.000000,285.500000,288.649994,288.649994,354
2018-01-23,290.000000,290.000000,275.000000,289.950012,289.950012,1060
2018-01-24,290.000000,290.000000,276.000000,282.799988,282.799988,448
2018-01-25,271.000000,294.000000,270.750000,280.000000,280.000000,78
2018-01-29,281.000000,281.000000,267.000000,271.299988,271.299988,935
2018-01-30,271.299988,271.299988,271.299988,271.299988,271.299988,0
2018-01-31,271.000000,280.000000,271.000000,279.500000,279.500000,82
2018-02-01,272.000000,272.000000,270.000000,270.000000,270.000000,50
2018-02-02,265.799988,265.799988,265.799988,265.799988,265.799988,1518
2018-02-05,265.799988,266.000000,265.799988,266.000000,266.000000,233
2018-02-06,253.000000,266.000000,253.000000,266.000000,266.000000,255
2018-02-07,256.049988,279.250000,256.049988,269.149994,269.149994,135
2018-02-08,260.000000,279.000000,260.000000,279.000000,279.000000,100
2018-02-09,279.000000,279.000000,279.000000,279.000000,279.000000,0
2018-02-12,283.250000,283.250000,283.250000,283.250000,283.250000,17
2018-02-14,290.500000,290.500000,290.500000,290.500000,290.500000,25
2018-02-15,293.000000,293.000000,280.000000,280.000000,280.000000,250
2018-02-16,270.000000,270.000000,270.000000,270.000000,270.000000,100
2018-02-19,270.000000,270.000000,270.000000,270.000000,270.000000,0
2018-02-20,270.000000,270.000000,270.000000,270.000000,270.000000,0
2018-02-21,270.000000,270.000000,270.000000,270.000000,270.000000,350
2018-02-22,270.000000,270.000000,270.000000,270.000000,270.000000,100
2018-02-23,260.000000,281.950012,258.000000,258.000000,258.000000,293
2018-02-26,258.000000,258.000000,258.000000,258.000000,258.000000,0
2018-02-27,252.250000,259.899994,247.000000,259.899994,259.899994,226
2018-02-28,270.000000,270.000000,270.000000,270.000000,270.000000,104
2018-03-01,281.950012,281.950012,281.899994,281.899994,281.899994,95
2018-03-05,281.899994,283.799988,280.000000,283.799988,283.799988,317
2018-03-06,285.000000,294.850006,275.000000,275.000000,275.000000,446
2018-03-07,275.000000,275.000000,262.000000,262.000000,262.000000,155
2018-03-08,275.100006,275.100006,275.100006,275.100006,275.100006,1500
